Date,Open,High,Low,Close,Adj Close,Volume,12,26,MACD
2018-02-25,9796.419921875,9923.2197265625,9407.0595703125,9664.73046875,9664.73046875,5706939904,10077.651200672031,10072.682282884154,4.968917787877217
2018-02-26,9669.4296875,10475.0,9501.73046875,10366.7001953125,10366.7001953125,7287690240,10122.123532901633,10094.735748768919,27.387784132713932
2018-02-27,10393.900390625,10878.5,10246.099609375,10725.599609375,10725.599609375,6966179840,10214.971758417621,10142.010977756141,72.96078066148038
2018-02-28,10687.2001953125,11089.7998046875,10393.099609375,10397.900390625,10397.900390625,6936189952,10243.116100283738,10161.170098780982,81.94600150275619
2018-03-01,10385.0,11052.2998046875,10352.7001953125,10951.0,10951.0,7317279744,10352.026146523209,10220.259576457545,131.76657006566347
2018-03-02,10977.400390625,11189.0,10850.099609375,11086.400390625,11086.400390625,7620590080,10465.011040085143,10285.010255532447,180.00078455269613
2018-03-03,11101.900390625,11528.2001953125,11002.400390625,11489.7001953125,11489.7001953125,6690570240,10622.660532200625,10375.008558790718,247.65197340990744
2018-03-04,11497.400390625,11512.599609375,11136.099609375,11512.599609375,11512.599609375,6084149760,10759.577915692824,10459.940408834369,299.6375068584548
2018-03-05,11532.400390625,11704.099609375,11443.900390625,11573.2998046875,11573.2998046875,6468539904,10884.768745237201,10543.014514084598,341.7542311526031
2018-03-06,11500.099609375,11500.099609375,10694.2998046875,10779.900390625,10779.900390625,6832169984,10868.634841802515,10560.680354175996,307.95448762651904
2018-03-07,10803.900390625,10929.5,9692.1201171875,9965.5703125,9965.5703125,8797910016,10729.699575420134,10516.322066689248,213.3775087308859
2018-03-08,9951.4404296875,10147.400390625,9335.8701171875,9395.009765625,9395.009765625,7186089984,10524.359852961636,10432.78049074195,91.57936221968521
2018-03-09,9414.6904296875,9466.349609375,8513.0302734375,9337.5498046875,9337.5498046875,8704190464,10341.771563414619,10351.217100785687,-9.445537371067985
2018-03-10,9350.58984375,9531.3203125,8828.4697265625,8866.0,8866.0,5386319872,10114.727545118727,10240.654798810974,-125.92725369224718
2018-03-11,8852.7802734375,9711.8896484375,8607.1201171875,9578.6298828125,9578.6298828125,6296370176,10032.250293371608,10191.390560266393,-159.14026689478487
2018-03-12,9602.9296875,9937.5,8956.4296875,9205.1201171875,9205.1201171875,6457399808,9904.998598436017,10118.022734777045,-213.02413634102777
2018-03-13,9173.0400390625,9470.3798828125,8958.1904296875,9194.849609375,9194.849609375,5991139840,9795.744254995416,10049.370296590025,-253.62604159460898
2018-03-14,9214.650390625,9355.849609375,8068.58984375,8269.8095703125,8269.8095703125,6438230016,9560.98388580384,9917.070559381817,-356.0866735779764
2018-03-15,8290.759765625,8428.349609375,7783.0498046875,8300.8603515625,8300.8603515625,6834429952,9367.117897312277,9796.947389354938,-429.8294920426615
2018-03-16,8322.91015625,8585.150390625,8005.31005859375,8338.349609375,8338.349609375,5289379840,9208.845280078714,9688.56568664722,-479.7204065685055
2018-03-17,8321.91015625,8346.5302734375,7812.81982421875,7916.8798828125,7916.8798828125,4426149888,9010.080763988053,9556.950297746625,-546.8695337585723
2018-03-18,7890.52001953125,8245.509765625,7397.990234375,8223.6796875,8223.6796875,6639190016,8889.095669422786,9457.925200274016,-568.8295308512297
2018-03-19,8344.1201171875,8675.8701171875,8182.39990234375,8630.650390625,8630.650390625,6729110016,8849.334770102523,9396.493761678405,-547.1589915758814
2018-03-20,8619.669921875,9051.01953125,8389.8896484375,8913.4697265625,8913.4697265625,6361789952,8859.20170479061,9360.632139414614,-501.4304346240042
2018-03-21,8937.48046875,9177.3701171875,8846.330078125,8929.2802734375,8929.2802734375,6043129856,8869.983039972505,9328.612304216233,-458.62926424372745
